sensor_data_id,crane_id,component_id,timestamp,temperature,vibration,load,motor_current,hydraulic_pressure,runtime_hours,ambient_temperature,temp_rolling_avg,vib_rolling_avg,health_label,RUL
SD-00022,CR-001,CMP-001,2026-08-20 16:06,60.51,0.322,22.3,31.0,142.2,1079.2,28.1,60.51,0.322,Normal,1095
SD-00023,CR-001,CMP-001,2026-08-20 19:42,60.41,0.374,19.2,35.1,146.1,1082.8,27.4,60.41,0.374,Normal,1090
SD-00024,CR-001,CMP-001,2026-08-20 23:18,63.22,0.288,22.7,34.6,142.0,1086.4,28.4,63.22,0.288,Normal,1085
SD-00025,CR-001,CMP-001,2026-08-21 02:54,62.39,0.389,18.3,29.4,152.6,1090.0,28.6,62.39,0.389,Normal,1080
SD-00026,CR-001,CMP-001,2026-08-21 06:30,62.38,0.367,20.0,32.5,151.5,1093.6,26.6,62.38,0.367,Normal,1075
SD-00027,CR-001,CMP-001,2026-08-21 10:06,64.8,0.374,18.4,33.3,145.1,1097.2,29.6,64.8,0.374,Normal,1070
SD-00028,CR-001,CMP-001,2026-08-21 13:42,63.74,0.309,24.9,32.8,154.1,1100.8,31.8,63.74,0.309,Normal,1065
SD-00029,CR-001,CMP-001,2026-08-21 17:18,61.63,0.312,19.3,30.4,149.6,1104.4,28.7,61.63,0.312,Normal,1060
SD-00030,CR-001,CMP-001,2026-08-21 20:54,62.42,0.391,22.0,34.9,148.7,1108.0,33.4,62.42,0.391,Normal,1055
SD-00031,CR-001,CMP-001,2026-08-22 00:30,62.94,0.307,18.8,33.0,148.9,1111.6,29.4,62.94,0.307,Normal,1050
SD-00032,CR-001,CMP-001,2026-08-22 04:06,62.71,0.346,19.5,29.0,147.8,1115.2,29.7,62.71,0.346,Normal,1045
SD-00033,CR-001,CMP-001,2026-08-22 07:42,62.32,0.288,22.5,32.8,145.6,1118.8,28.3,62.32,0.288,Normal,1040
SD-00034,CR-001,CMP-001,2026-08-22 11:18,62.09,0.293,23.1,33.1,155.4,1122.4,30.1,62.09,0.293,Normal,1035
SD-00035,CR-001,CMP-001,2026-08-22 14:54,59.93,0.303,23.5,33.0,152.6,1126.0,35.7,59.93,0.303,Normal,1030
SD-00036,CR-001,CMP-001,2026-08-22 18:30,62.86,0.407,24.9,33.3,148.4,1129.6,29.5,62.86,0.407,Normal,1025
SD-00037,CR-001,CMP-001,2026-08-22 22:06,60.84,0.338,20.5,32.2,161.6,1133.2,24.3,60.84,0.338,Normal,1020
SD-00038,CR-001,CMP-001,2026-08-23 01:42,63.03,0.269,20.6,34.2,150.3,1136.8,25.8,63.03,0.269,Normal,1015
SD-00039,CR-001,CMP-001,2026-08-23 05:18,60.93,0.384,19.8,32.4,150.2,1140.4,26.7,60.93,0.384,Normal,1010
SD-00040,CR-001,CMP-001,2026-08-23 08:54,65.22,0.382,15.9,32.4,146.7,1144.0,29.7,65.22,0.382,Normal,1005
SD-00041,CR-001,CMP-001,2026-08-23 12:30,60.81,0.344,23.5,33.7,144.0,1147.6,27.3,60.81,0.344,Normal,1000
SD-00042,CR-001,CMP-001,2026-08-23 16:06,61.29,0.317,27.3,32.8,143.7,1151.2,29.8,61.29,0.317,Normal,995
SD-00043,CR-001,CMP-001,2026-08-23 19:42,65.18,0.402,17.4,31.0,156.3,1154.8,26.6,65.18,0.402,Normal,990
SD-00044,CR-001,CMP-001,2026-08-23 23:18,62.67,0.389,19.2,31.9,133.8,1158.4,26.0,62.67,0.389,Normal,985
SD-00045,CR-001,CMP-001,2026-08-24 02:54,61.62,0.288,26.9,29.1,147.8,1162.0,28.3,61.62,0.288,Normal,980
SD-00046,CR-001,CMP-001,2026-08-24 06:30,64.16,0.278,25.5,32.0,145.1,1165.6,28.9,64.16,0.278,Normal,975
SD-00047,CR-001,CMP-001,2026-08-24 10:06,62.3,0.32,22.2,31.2,150.6,1169.2,29.3,62.3,0.32,Normal,970
SD-00048,CR-001,CMP-001,2026-08-24 13:42,64.38,0.288,28.4,28.1,149.2,1172.8,29.2,64.38,0.288,Normal,965
SD-00049,CR-001,CMP-001,2026-08-24 17:18,62.42,0.319,21.4,31.0,147.1,1176.4,29.7,62.42,0.319,Normal,960
SD-00050,CR-001,CMP-001,2026-08-24 20:54,62.54,0.315,24.7,32.6,154.1,1180.0,29.3,62.54,0.315,Normal,955
SD-00051,CR-001,CMP-001,2026-08-25 00:30,60.76,0.322,24.2,33.2,149.9,1183.6,28.2,60.76,0.322,Normal,950
SD-00052,CR-001,CMP-001,2026-08-25 04:06,63.92,0.32,23.6,31.6,148.9,1187.2,30.2,63.92,0.32,Normal,945
SD-00053,CR-001,CMP-001,2026-08-25 07:42,63.24,0.391,25.9,32.0,153.4,1190.8,27.4,63.24,0.391,Normal,940
SD-00054,CR-001,CMP-001,2026-08-25 11:18,62.49,0.343,22.3,33.2,145.9,1194.4,32.2,62.49,0.343,Normal,935
SD-00055,CR-001,CMP-001,2026-08-25 14:54,60.49,0.289,25.5,33.6,153.1,1198.0,29.3,60.49,0.289,Normal,930
SD-00056,CR-001,CMP-001,2026-08-25 18:30,61.98,0.305,22.2,30.6,154.9,1201.6,27.7,61.98,0.305,Normal,925
SD-00057,CR-001,CMP-001,2026-08-25 22:06,60.76,0.334,23.2,30.9,145.9,1205.2,28.5,60.76,0.334,Normal,920
SD-00058,CR-001,CMP-001,2026-08-26 01:42,62.37,0.325,20.6,32.5,142.8,1208.8,25.2,62.37,0.325,Normal,915
SD-00059,CR-001,CMP-001,2026-08-26 05:18,60.92,0.339,22.9,35.0,154.3,1212.4,27.7,60.92,0.339,Normal,910
SD-00060,CR-001,CMP-001,2026-08-26 08:54,61.97,0.3,21.9,31.4,151.6,1216.0,26.3,61.97,0.3,Normal,905
SD-00061,CR-001,CMP-001,2026-08-26 12:30,62.78,0.427,21.7,32.8,153.5,1219.6,27.2,62.78,0.427,Normal,900
SD-00062,CR-001,CMP-001,2026-08-26 16:06,62.34,0.351,22.3,30.5,150.1,1223.2,29.0,62.34,0.351,Normal,895
SD-00063,CR-001,CMP-001,2026-08-26 19:42,64.18,0.398,28.5,30.5,154.4,1226.8,28.4,64.18,0.398,Normal,890
SD-00064,CR-001,CMP-001,2026-08-26 23:18,65.28,0.31,19.5,30.8,139.4,1230.4,26.9,65.28,0.31,Normal,885
SD-00065,CR-001,CMP-001,2026-08-27 02:54,60.86,0.358,23.0,35.8,154.8,1234.0,26.8,60.86,0.358,Normal,880
SD-00066,CR-001,CMP-001,2026-08-27 06:30,60.65,0.375,18.0,35.7,155.9,1237.6,27.1,60.65,0.375,Normal,875
SD-00067,CR-001,CMP-001,2026-08-27 10:06,59.43,0.418,21.7,34.5,142.0,1241.2,26.8,59.43,0.418,Normal,870
SD-00068,CR-001,CMP-001,2026-08-27 13:42,62.01,0.352,20.6,33.2,144.7,1244.8,27.7,62.01,0.352,Normal,865
SD-00069,CR-001,CMP-001,2026-08-27 17:18,62.18,0.376,24.1,29.8,142.3,1248.4,30.6,62.18,0.376,Normal,860
SD-00070,CR-001,CMP-001,2026-08-27 20:54,62.5,0.313,26.7,32.2,155.9,1252.0,28.1,62.5,0.313,Normal,855
SD-00071,CR-001,CMP-001,2026-08-28 00:30,65.09,0.438,21.3,33.9,153.2,1255.6,30.7,65.09,0.438,Normal,850
SD-00072,CR-001,CMP-001,2026-08-28 04:06,60.55,0.384,25.2,28.5,144.1,1259.2,23.9,60.55,0.384,Normal,845
SD-00073,CR-001,CMP-001,2026-08-28 07:42,61.6,0.386,26.5,32.1,158.1,1262.8,25.2,61.6,0.386,Normal,840
SD-00074,CR-001,CMP-001,2026-08-28 11:18,59.44,0.347,23.2,31.9,139.7,1266.4,27.8,59.44,0.347,Normal,835
SD-00075,CR-001,CMP-001,2026-08-28 14:54,60.04,0.383,23.1,30.1,147.4,1270.0,25.9,60.04,0.383,Normal,830
SD-00076,CR-001,CMP-001,2026-08-28 18:30,61.91,0.398,19.0,33.0,147.3,1273.6,26.4,61.91,0.398,Normal,825
SD-00077,CR-001,CMP-001,2026-08-28 22:06,61.84,0.298,20.3,29.6,159.8,1277.2,28.1,61.84,0.298,Normal,820
SD-00078,CR-001,CMP-001,2026-08-29 01:42,60.95,0.361,21.7,31.6,153.1,1280.8,29.5,60.95,0.361,Normal,815
SD-00079,CR-001,CMP-001,2026-08-29 05:18,61.2,0.321,21.2,27.4,142.4,1284.4,30.7,61.2,0.321,Normal,810
SD-00080,CR-001,CMP-001,2026-08-29 08:54,64.47,0.338,23.7,32.6,165.4,1288.0,30.2,64.47,0.338,Normal,805
SD-00081,CR-001,CMP-001,2026-08-29 12:30,61.81,0.302,17.2,32.4,146.2,1291.6,25.2,61.81,0.302,Normal,800
SD-00082,CR-001,CMP-001,2026-08-29 16:06,61.03,0.296,27.1,33.8,150.0,1295.2,31.0,61.03,0.296,Normal,795
SD-00083,CR-001,CMP-001,2026-08-29 19:42,62.12,0.307,26.6,33.1,144.8,1298.8,27.6,62.12,0.307,Normal,790
SD-00084,CR-001,CMP-001,2026-08-29 23:18,60.69,0.281,24.8,35.8,143.0,1302.4,29.1,60.69,0.281,Normal,785
SD-00085,CR-001,CMP-001,2026-08-30 02:54,61.02,0.326,20.2,30.3,150.2,1306.0,26.3,61.02,0.326,Normal,780
SD-00086,CR-001,CMP-001,2026-08-30 06:30,62.41,0.347,21.3,30.2,147.1,1309.6,29.5,62.41,0.347,Normal,775
SD-00087,CR-001,CMP-001,2026-08-30 10:06,62.75,0.301,22.3,33.5,141.7,1313.2,29.1,62.75,0.301,Normal,770
SD-00088,CR-001,CMP-001,2026-08-30 13:42,61.01,0.379,19.7,28.4,141.9,1316.8,28.1,61.01,0.379,Normal,765
SD-00089,CR-001,CMP-001,2026-08-30 17:18,62.39,0.305,23.9,28.7,149.7,1320.4,25.6,62.39,0.305,Normal,760
SD-00090,CR-001,CMP-001,2026-08-30 20:54,61.02,0.352,19.4,31.2,155.0,1324.0,26.8,61.02,0.352,Normal,755
SD-00091,CR-001,CMP-001,2026-08-31 00:30,63.25,0.294,23.6,34.9,137.6,1327.6,26.4,63.25,0.294,Normal,750
SD-00092,CR-001,CMP-001,2026-08-31 04:06,62.87,0.34,23.1,30.8,150.4,1331.2,27.7,62.87,0.34,Normal,745
SD-00093,CR-001,CMP-001,2026-08-31 07:42,63.75,0.363,23.0,31.2,147.6,1334.8,27.1,63.75,0.363,Normal,740
SD-00094,CR-001,CMP-001,2026-08-31 11:18,62.59,0.329,22.9,36.2,154.4,1338.4,27.3,62.59,0.329,Normal,735
SD-00095,CR-001,CMP-001,2026-08-31 14:54,63.8,0.33,15.9,30.0,140.6,1342.0,27.3,63.8,0.33,Normal,730
SD-00096,CR-001,CMP-001,2026-08-31 18:30,62.03,0.434,23.0,31.6,154.1,1345.6,23.6,62.03,0.434,Normal,725
SD-00097,CR-001,CMP-001,2026-08-31 22:06,62.35,0.389,17.6,34.3,151.7,1349.2,27.2,62.35,0.389,Normal,720
SD-00098,CR-001,CMP-001,2026-09-01 01:42,62.95,0.464,22.5,32.5,147.7,1352.8,26.3,62.95,0.464,Normal,715
SD-00099,CR-001,CMP-001,2026-09-01 05:18,63.25,0.307,22.2,31.0,152.4,1356.4,28.7,63.25,0.307,Normal,710
SD-00100,CR-001,CMP-001,2026-09-01 08:54,63.56,0.324,21.2,30.0,147.8,1360.0,28.8,63.56,0.324,Normal,705
SD-00101,CR-001,CMP-001,2026-09-01 12:30,63.14,0.304,24.6,34.7,152.1,1363.6,31.8,63.14,0.304,Normal,700
SD-00102,CR-001,CMP-001,2026-09-01 16:06,60.84,0.288,16.7,35.0,153.3,1367.2,27.9,60.84,0.288,Normal,695
SD-00103,CR-001,CMP-001,2026-09-01 19:42,62.42,0.294,29.3,32.3,150.5,1370.8,29.5,62.42,0.294,Normal,690
SD-00104,CR-001,CMP-001,2026-09-01 23:18,62.72,0.361,19.6,32.9,159.4,1374.4,30.7,62.72,0.361,Normal,685
SD-00105,CR-001,CMP-001,2026-09-02 02:54,64.39,0.324,19.0,31.7,150.3,1378.0,30.2,64.39,0.324,Normal,680
SD-00106,CR-001,CMP-001,2026-09-02 06:30,59.46,0.426,21.5,31.1,144.9,1381.6,24.7,59.46,0.426,Normal,675
SD-00107,CR-001,CMP-001,2026-09-02 10:06,63.23,0.354,18.1,29.4,148.3,1385.2,31.3,63.23,0.354,Normal,670
SD-00108,CR-001,CMP-001,2026-09-02 13:42,61.61,0.275,21.3,31.5,136.5,1388.8,27.9,61.61,0.275,Normal,665
SD-00109,CR-001,CMP-001,2026-09-02 17:18,61.65,0.385,27.5,34.3,148.7,1392.4,25.8,61.65,0.385,Normal,660
SD-00110,CR-001,CMP-001,2026-09-02 20:54,65.86,0.353,22.0,32.0,151.0,1396.0,27.7,65.86,0.353,Normal,655
SD-00111,CR-001,CMP-001,2026-09-03 00:30,61.14,0.323,21.9,30.9,146.4,1399.6,28.2,61.14,0.323,Normal,650
SD-00112,CR-001,CMP-001,2026-09-03 04:06,61.62,0.425,14.0,34.2,156.2,1403.2,23.9,61.62,0.425,Normal,645
SD-00113,CR-001,CMP-001,2026-09-03 07:42,61.49,0.331,17.8,30.4,144.4,1406.8,31.5,61.49,0.331,Normal,640
SD-00114,CR-001,CMP-001,2026-09-03 11:18,63.4,0.414,24.2,29.7,147.4,1410.4,29.0,63.4,0.414,Normal,635
SD-00115,CR-001,CMP-001,2026-09-03 14:54,60.17,0.386,21.3,31.3,153.6,1414.0,28.9,60.17,0.386,Normal,630
SD-00116,CR-001,CMP-001,2026-09-03 18:30,61.46,0.408,18.8,33.2,153.0,1417.6,27.4,61.46,0.408,Normal,625
SD-00117,CR-001,CMP-001,2026-09-03 22:06,62.49,0.287,24.8,31.6,147.4,1421.2,30.1,62.49,0.287,Normal,620
SD-00118,CR-001,CMP-001,2026-09-04 01:42,60.94,0.28,17.3,33.2,143.6,1424.8,31.5,60.94,0.28,Normal,615
SD-00119,CR-001,CMP-001,2026-09-04 05:18,58.88,0.435,22.6,31.8,147.3,1428.4,28.8,58.88,0.435,Normal,610
SD-00120,CR-001,CMP-001,2026-09-04 08:54,61.94,0.405,22.3,32.3,148.2,1432.0,27.9,61.94,0.405,Normal,605
SD-00121,CR-001,CMP-001,2026-09-04 12:30,62.46,0.264,18.0,33.5,150.9,1435.6,27.6,62.46,0.264,Normal,600
SD-00122,CR-001,CMP-001,2026-09-04 16:06,62.03,0.367,20.4,30.4,151.0,1439.2,26.0,62.03,0.367,Normal,595
SD-00123,CR-001,CMP-001,2026-09-04 19:42,62.61,0.265,25.1,32.9,151.3,1442.8,30.0,62.61,0.265,Normal,590
SD-00124,CR-001,CMP-001,2026-09-04 23:18,64.5,0.401,16.5,29.4,146.9,1446.4,28.1,64.5,0.401,Normal,585
SD-00125,CR-001,CMP-001,2026-09-05 02:54,62.78,0.314,22.6,30.5,146.9,1450.0,25.2,62.78,0.314,Normal,580
SD-00126,CR-001,CMP-001,2026-09-05 06:30,60.62,0.282,19.1,34.1,145.3,1453.6,33.3,60.62,0.282,Normal,575
SD-00127,CR-001,CMP-001,2026-09-05 10:06,62.74,0.359,19.4,33.4,147.1,1457.2,28.2,62.74,0.359,Normal,570
SD-00128,CR-001,CMP-001,2026-09-05 13:42,65.84,0.345,25.4,30.6,149.8,1460.8,31.5,65.84,0.345,Normal,565
SD-00129,CR-001,CMP-001,2026-09-05 17:18,61.06,0.441,24.1,30.9,153.2,1464.4,29.9,61.06,0.441,Normal,560
SD-00130,CR-001,CMP-001,2026-09-05 20:54,62.93,0.271,19.8,31.5,149.6,1468.0,29.2,62.93,0.271,Normal,555
SD-00131,CR-001,CMP-001,2026-09-06 00:30,62.27,0.283,23.1,33.2,152.8,1471.6,30.2,62.27,0.283,Normal,550
SD-00132,CR-001,CMP-001,2026-09-06 04:06,63.25,0.373,21.8,28.7,152.1,1475.2,28.4,63.25,0.373,Normal,545
SD-00133,CR-001,CMP-001,2026-09-06 07:42,62.41,0.286,18.8,34.1,149.8,1478.8,29.4,62.41,0.286,Normal,540
SD-00134,CR-001,CMP-001,2026-09-06 11:18,62.04,0.351,24.8,31.0,150.5,1482.4,27.1,62.04,0.351,Normal,535
SD-00135,CR-001,CMP-001,2026-09-06 14:54,61.35,0.335,22.7,31.0,156.3,1486.0,26.2,61.35,0.335,Normal,530
SD-00136,CR-001,CMP-001,2026-09-06 18:30,61.72,0.328,26.3,32.4,155.2,1489.6,25.0,61.72,0.328,Normal,525
SD-00137,CR-001,CMP-001,2026-09-06 22:06,62.4,0.394,22.2,34.1,147.4,1493.2,30.8,62.4,0.394,Normal,520
SD-00138,CR-001,CMP-001,2026-09-07 01:42,65.45,0.332,20.7,34.9,157.9,1496.8,27.0,65.45,0.332,Normal,515
SD-00139,CR-001,CMP-001,2026-09-07 05:18,61.37,0.336,18.0,30.2,145.0,1500.4,26.5,61.37,0.336,Normal,510
SD-00140,CR-001,CMP-001,2026-09-07 08:54,61.95,0.362,26.7,30.0,154.9,1504.0,27.6,61.95,0.362,Normal,505
SD-00141,CR-001,CMP-001,2026-09-07 12:30,61.93,0.384,18.6,32.8,150.8,1507.6,29.0,61.93,0.384,Normal,500
SD-00142,CR-001,CMP-001,2026-09-07 16:06,62.43,0.473,20.1,30.9,146.9,1511.2,26.9,62.43,0.473,Normal,495
SD-00143,CR-001,CMP-001,2026-09-07 19:42,61.04,0.409,26.3,30.9,145.8,1514.8,28.9,61.04,0.409,Normal,490
SD-00144,CR-001,CMP-001,2026-09-07 23:18,61.17,0.382,22.6,29.0,157.7,1518.4,31.6,61.17,0.382,Normal,485
SD-00145,CR-001,CMP-001,2026-09-08 02:54,61.08,0.331,22.9,32.7,153.3,1522.0,32.0,61.08,0.331,Normal,480
SD-00146,CR-001,CMP-001,2026-09-08 06:30,61.73,0.31,17.9,30.5,149.8,1525.6,31.6,61.73,0.31,Normal,475
SD-00147,CR-001,CMP-001,2026-09-08 10:06,61.22,0.361,22.0,34.4,162.6,1529.2,26.9,61.22,0.361,Normal,470
SD-00148,CR-001,CMP-001,2026-09-08 13:42,61.27,0.402,24.0,35.7,152.9,1532.8,27.3,61.27,0.402,Normal,465
SD-00149,CR-001,CMP-001,2026-09-08 17:18,62.89,0.405,24.5,33.0,155.3,1536.4,30.3,62.89,0.405,Normal,460
SD-00150,CR-001,CMP-001,2026-09-08 20:54,64.07,0.382,21.5,32.3,156.0,1540.0,26.4,64.07,0.382,Normal,455
SD-00151,CR-001,CMP-001,2026-09-09 00:30,62.55,0.33,22.1,34.6,151.0,1543.6,28.1,62.55,0.33,Normal,450
SD-00152,CR-001,CMP-001,2026-09-09 04:06,59.96,0.387,23.9,36.3,148.5,1547.2,28.4,59.96,0.387,Normal,445
SD-00153,CR-001,CMP-001,2026-09-09 07:42,62.37,0.429,21.7,32.6,153.0,1550.8,28.4,62.37,0.429,Normal,440
SD-00154,CR-001,CMP-001,2026-09-09 11:18,61.33,0.36,25.2,29.9,150.7,1554.4,26.6,61.33,0.36,Normal,435
SD-00155,CR-001,CMP-001,2026-09-09 14:54,63.79,0.274,20.3,32.8,157.8,1558.0,27.9,63.79,0.274,Normal,430
SD-00156,CR-001,CMP-001,2026-09-09 18:30,61.17,0.444,17.7,27.6,152.2,1561.6,27.0,61.17,0.444,Normal,425
SD-00157,CR-001,CMP-001,2026-09-09 22:06,60.47,0.385,22.7,30.9,143.6,1565.2,29.7,60.47,0.385,Normal,420
SD-00158,CR-001,CMP-001,2026-09-10 01:42,62.98,0.345,27.5,29.9,142.4,1568.8,26.6,62.98,0.345,Normal,415
SD-00159,CR-001,CMP-001,2026-09-10 05:18,61.93,0.362,21.3,32.7,143.7,1572.4,30.9,61.93,0.362,Normal,410
SD-00160,CR-001,CMP-001,2026-09-10 08:54,61.88,0.406,23.0,32.9,152.8,1576.0,28.9,61.88,0.406,Normal,405
SD-00161,CR-001,CMP-001,2026-09-10 12:30,62.96,0.416,22.6,33.4,149.6,1579.6,30.9,62.96,0.416,Normal,400
SD-00162,CR-001,CMP-001,2026-09-10 16:06,60.99,0.44,21.9,29.1,150.6,1583.2,26.6,60.99,0.44,Normal,395
SD-00163,CR-001,CMP-001,2026-09-10 19:42,63.26,0.317,20.7,28.2,147.7,1586.8,23.2,63.26,0.317,Normal,390
SD-00164,CR-001,CMP-001,2026-09-10 23:18,59.62,0.388,24.4,32.9,145.2,1590.4,27.9,59.62,0.388,Normal,385
SD-00165,CR-001,CMP-001,2026-09-11 02:54,61.99,0.292,26.5,33.8,148.9,1594.0,28.1,61.99,0.292,Normal,380
SD-00166,CR-001,CMP-001,2026-09-11 06:30,62.31,0.248,21.3,30.6,145.0,1597.6,27.4,62.31,0.248,Normal,375
SD-00167,CR-001,CMP-001,2026-09-11 10:06,64.7,0.382,20.3,33.1,157.0,1601.2,29.8,64.7,0.382,Normal,370
SD-00168,CR-001,CMP-001,2026-09-11 13:42,62.09,0.318,24.1,32.8,154.5,1604.8,29.3,62.09,0.318,Normal,365
SD-00169,CR-001,CMP-001,2026-09-11 17:18,63.57,0.323,26.0,32.4,160.4,1608.4,26.6,63.57,0.323,Normal,360
SD-00170,CR-001,CMP-001,2026-09-11 20:54,64.6,0.36,20.0,31.0,148.4,1612.0,28.8,64.6,0.36,Normal,355
SD-00171,CR-001,CMP-001,2026-09-12 00:30,62.78,0.321,21.9,36.3,158.6,1615.6,28.9,62.78,0.321,Normal,350
SD-00172,CR-001,CMP-001,2026-09-12 04:06,62.06,0.356,23.8,30.0,148.7,1619.2,24.7,62.06,0.356,Normal,345
SD-00173,CR-001,CMP-001,2026-09-12 07:42,62.6,0.382,20.6,35.1,143.9,1622.8,25.1,62.6,0.382,Normal,340
SD-00174,CR-001,CMP-001,2026-09-12 11:18,62.34,0.402,27.1,31.1,155.4,1626.4,27.9,62.34,0.402,Normal,335
SD-00175,CR-001,CMP-001,2026-09-12 14:54,61.74,0.394,24.0,28.8,157.4,1630.0,30.8,61.74,0.394,Normal,330
SD-00176,CR-001,CMP-001,2026-09-12 18:30,61.06,0.37,23.5,32.5,147.2,1633.6,26.7,61.06,0.37,Normal,325
SD-00177,CR-001,CMP-001,2026-09-12 22:06,61.96,0.409,23.6,31.3,153.9,1637.2,22.3,61.96,0.409,Normal,320
SD-00178,CR-001,CMP-001,2026-09-13 01:42,63.72,0.263,20.9,29.8,143.5,1640.8,30.3,63.72,0.263,Normal,315
SD-00179,CR-001,CMP-001,2026-09-13 05:18,61.3,0.367,21.9,33.0,150.4,1644.4,25.4,61.3,0.367,Normal,310
SD-00180,CR-001,CMP-001,2026-09-13 08:54,63.49,0.325,17.3,31.1,157.5,1648.0,29.7,63.49,0.325,Normal,305
SD-00181,CR-001,CMP-001,2026-09-13 12:30,61.48,0.333,21.0,36.2,151.9,1651.6,28.9,61.48,0.333,Normal,300
SD-00182,CR-001,CMP-001,2026-09-13 16:06,63.55,0.362,21.2,31.6,149.6,1655.2,27.9,63.55,0.362,Normal,295
SD-00183,CR-001,CMP-001,2026-09-13 19:42,63.09,0.353,24.2,31.8,150.4,1658.8,24.0,63.09,0.353,Normal,290
SD-00184,CR-001,CMP-001,2026-09-13 23:18,63.37,0.367,25.0,26.2,160.4,1662.4,27.7,63.37,0.367,Normal,285
SD-00185,CR-001,CMP-001,2026-09-14 02:54,63.66,0.298,23.8,29.9,146.9,1666.0,31.8,63.66,0.298,Normal,280
SD-00186,CR-001,CMP-001,2026-09-14 06:30,61.71,0.361,24.6,33.0,150.8,1669.6,28.7,61.71,0.361,Normal,275
SD-00187,CR-001,CMP-001,2026-09-14 10:06,65.61,0.347,22.6,34.1,155.5,1673.2,30.4,65.61,0.347,Normal,270
SD-00188,CR-001,CMP-001,2026-09-14 13:42,62.96,0.293,26.9,29.7,151.5,1676.8,26.5,62.96,0.293,Normal,265
SD-00189,CR-001,CMP-001,2026-09-14 17:18,61.9,0.366,23.0,32.8,158.1,1680.4,28.9,61.9,0.366,Normal,260
SD-00190,CR-001,CMP-001,2026-09-14 20:54,61.63,0.398,25.6,29.5,153.0,1684.0,29.4,61.63,0.398,Normal,255
SD-00191,CR-001,CMP-001,2026-09-15 00:30,61.55,0.419,21.5,32.3,149.1,1687.6,28.0,61.55,0.419,Normal,250
SD-00192,CR-001,CMP-001,2026-09-15 04:06,60.36,0.278,26.8,30.3,145.0,1691.2,23.7,60.36,0.278,Normal,245
SD-00193,CR-001,CMP-001,2026-09-15 07:42,61.04,0.284,26.9,34.0,146.6,1694.8,32.5,61.04,0.284,Normal,240
SD-00194,CR-001,CMP-001,2026-09-15 11:18,63.47,0.334,14.5,36.6,143.1,1698.4,24.7,63.47,0.334,Normal,235
